timestamp,ticker,open,high,low,close,volume,return_5m,return_30m,return_1h,volatility_1h,rsi_14,macd,macd_signal,macd_hist,ema_12,ema_26,rel_volume,sentiment_score,reputable_mentions,politician_trades,insider_activity_score,earnings_sentiment,google_trend_score,target_5m_return,target_up_bin
2025-07-30 08:00:00+00:00,META,706.46,706.58,706.46,706.58,1121.0,,,,,,0.0,0.0,0.0,706.58,706.58,,0.0,0,0.0,0.0,0.0,,0.0022411347517730107,1
2025-07-30 08:20:00+00:00,META,705.6,705.6,705.0,705.0,3043.0,-0.00223612329814038,,,,,-0.12603988603984817,-0.025207977207969634,-0.10083190883187854,706.3369230769231,706.4629629629629,,0.0,0,0.0,0.0,0.0,,-0.0023631964000169203,0
2025-07-30 08:50:00+00:00,META,706.67,706.67,706.67,706.67,1090.0,0.0023687943262411526,,,,,-0.09013335930717403,-0.038193053627810516,-0.051940305679363516,706.3881656804733,706.4782990397805,,0.0,0,0.0,0.0,0.0,,0.0008497741017179372,0
2025-07-30 08:55:00+00:00,META,706.07,706.07,706.07,706.07,130.0,-0.0008490525988084086,,,,,-0.1088375522166416,-0.05232195334557674,-0.05651559887106486,706.3392171142467,706.4480546664633,,0.0,0,0.0,0.0,0.0,,-0.0005520482405231286,0
2025-07-30 09:30:00+00:00,META,706.46,706.46,706.46,706.46,278.0,0.0005523531661166814,,,,,-0.09114040931422096,-0.06008564453930559,-0.031054764774915374,706.3577990966703,706.4489395059845,,0.0,0,0.0,0.0,0.0,,-0.0014699646643109299,0
2025-07-30 10:00:00+00:00,META,707.4,707.63,707.4,707.5,2335.0,0.0014721286413950097,,,,,0.006726473692538093,-0.04672322089293685,0.053449694585474945,706.5335223125671,706.5267958388746,,0.0,0,0.0,0.0,0.0,,-0.00018371182680210207,0
2025-07-30 10:05:00+00:00,META,707.5,707.63,707.5,707.63,1217.0,0.00018374558303890787,0.0014860313057261099,,,,0.09369652193208822,-0.018639272327931843,0.11233579426002006,706.7022111875567,706.6085146656246,,0.0,0,0.0,0.0,0.0,,-0.000776638707673083,0
2025-07-30 10:20:00+00:00,META,708.18,708.18,708.18,708.18,540.0,0.0007772423441627652,0.004510638297872349,,,,0.2046423258585719,0.026017047309368907,0.178625278549203,706.929563312548,706.7249209866894,,0.0,0,0.0,0.0,0.0,,-0.00031055900621124177,0
2025-07-30 10:35:00+00:00,META,707.95,708.4,707.95,708.4,5731.0,0.0003106554830694108,0.002448101659897839,,0.0013993402173078056,,0.30678342778537626,0.08217032340457038,0.2246131043808059,707.1557843413867,706.8490009136013,,0.0,0,0.0,0.0,0.0,,0.0002824060999717659,0
2025-07-30 10:45:00+00:00,META,708.2,708.2,708.2,708.2,475.0,-0.00028232636928282595,0.0030166980610988325,,0.0013243963570658246,,0.3673579842489971,0.13920785557345572,0.2281501286755414,707.3164329042503,706.9490749200013,,0.0,0,0.0,0.0,0.0,,0.000706514059629848,0
